Title,Count
rblsmtpd wrapped smtpd,45
Haproxy http proxy,44
IBM (https://w3.ibm.com/standards),44
MF620C Series,44
MS-SQL Server 2014 SP2+,44
Munin,44
Samsung Smart TV UN55JU6700 UN55JU6700,44
vsftpd (before 2.0.8) or WU-FTPD,44
Oki Data Corporation,43
Dahua DH-XVR5116H-I3,42
Juniper Network Connect 8.0 (Pulse Secure),42
K3250 Series,42
QNAP TS-269L,42
Quick 'n Easy ftpd,42
RiverDelta Networks,42
Apache ActiveMQ,41
Dahua DH-XVR1B04H,41
Samsung Smart TV UN60H6500,41
D-Link Corporation D-Link DIR-806M Wireless AC Dual Band Router,40
EFM Networks ipTIME N704NS 1,40
Oracle HTTP Server Powered by Apache,40
QNAP TS-231+ TS-231+,40
Splunk Server,40
ClickHouse,39
Enterasys Networks,39
Werkzeug,39
Samsung Smart TV UN50HU7000 UN50HU7000,38
Samsung Smart TV UN55HU8700,38
Samsung Smart TV UN65HU7200,38
Ultr@VNC Repeater,38
vIPtela Inc.,38
Dahua HRHQ1040L,37
QNAP TS-451+,37
Samsung Smart TV UN48J6200,37
Samsung Smart TV UN55J6300,37
Dahua DS-2104HS-D1,36
Dahua-based DHI-XVR5104H,36
IBM DB2 Database Server,36
QNAP TS-251+ TS-251+,36
Samsung Smart TV UN50JU6400 UN50JU6400,36
smbx,36
3CX Phone System Management Console,35
Dahua DH-SD6CE245UN-HNI,35
Dahua DH-XVR5104HS-I2,35
MS-SQL Server 2000 SP1+,35
Microsoft Windows 2003 POP3 Service,35
Realtek Semiconductor corp.,35
Samsung Smart TV UN55JS6900,35
Dahua IP2M-841B,34
MF645C,34
ProFTPD or KnFTPD,34
QNAP TS-231,34
Samsung Smart TV UN50J5800,34
Samsung Smart TV UN55HU7200 UN55HU7200,34
Samsung Smart TV UN65JU6000,34
Alt-N MDaemon mail server,33
C-Cor Electronics,33
Dahua ERD-1651HS-S2,33
Dahua-based ERD-0451HS-4KL-I3,33
Dahua-based ERN-0441HS-P,33
Dahua-based TD-2304-I3,33
MS-SQL Server 2008 SP3+,33
MS-SQL Server 2016 SP3+,33
MS-SQL Server 2022 CTP1.0+,33
Samsung Smart TV UN48J5500,33
Wireless-N Router,33
Dahua DHI-XVR5216AN,32
Dahua PC-NVR,32
Dahua-based DHI-NVR4104HS-P-4KS2/L,32
Dahua-based ERD-1651HS-I3,32
Dahua-based ERN-0841HS-PL,32
Epilogue,32
MDaemon pop3d,32
Microsoft NNTP Service,32
Samsung Smart TV UN48J6300,32
Yahoo Smart TV,32
CJServer,31
CORBA naming service,31
Dahua IP PTZ Camera,31
EFM Networks ipTIME V308 1,31
EPSON WF-C5790 Series,31
GNU Zebra routing software,31
MS-SQL Server 2012 RTM+,31
MS-SQL Server 2019 CU8,31
NetApp filer httpd,31
Samsung Smart TV UN55J5500 UN55J5500,31
ioBroker,31
Dahua DHI-XVR4104HS-S2,30
Dahua-based KPR-5M04HS-X1,30
EFM Networks ipTIME N608 1,30
EFM Networks ipTIME N904NS 1,30
MS-SQL Server 2000 SP3,30
MS-SQL Server 2019 CU15,30
Paramiko Python sshd,30
Samsung Smart TV UN40H5500,30
Dahua DH-XVR5104HS-4KL-X,29
Dahua DH-XVR5108H-4KL-I3,29
Dahua DHI-NVR2104HS-P-I,29
Dahua-based DH-XVR5116HS-I3,29
Dahua-based ERN-1642H-P,29
Dahua-based TNR-4208P,29
EFM Networks ipTIME N804 1,29
Honeywell HEN08103,29
MS-SQL Server 2012 SP3+,29
MS-SQL Server 2017 CU28+,29
Pablo's ftpd,29
Samsung Smart TV UN48JU6700,29
Samsung Smart TV UN65HU9000,29
Samsung Smart TV UN65JS9000,29
Xlight ftpd,29
Dahua DH-SD59230UN-HNI,28
Dahua DHI-NVR608-32-4KS2,28
QNAP TS-212P,28
SAProuter,28
Samsung Smart TV UN55JU7500,28
Samsung Smart TV UN75J6200,28
YATE/3.0.0,28
lpd,28
ASUS Wireless Router RT-N66U,27
"Airespace, Inc (formerly 'Black Storm Networks')",27
D-Link DIR-845L WAP http config,27
Dahua DHI-XVR5116H,27
EFM Networks ipTIME N104K 1,27
EFM Networks ipTIME N704S 1,27
HP LaserJet Professional M1212nf MFP,27
Homebridge,27
MS .NET Remoting httpd,27
MS-SQL Server 2005 SP4+,27
QNAP TS-220 TS-220,27
QNAP TS-253D TS-253D,27
Samsung C145x Series,27
Samsung Electronics Samsung X4305 Series 1.0,27
Samsung Smart TV UN48H5800,27
iPECS-MG,27
"Alcatel-Lucent (formerly 'Panthera Networks, Inc.')",26
Apple AirPlay httpd,26
Dahua IPC-HFW4231E-SE,26
Dahua-based DHI-XVR5232AN-I3,26
EFM Networks ipTIME T3008 1,26
MoxaHttp,26
Neowiki Anygate RG-5200A RT2880 C,26
QNAP TS-231P TS-231P,26
QNAP TS-469 Pro TS-469 Pro,26
Samsung Electronics Samsung X4300 Series 1.0,26
Samsung Smart TV UN43J5500,26
Samsung Smart TV UN55JU6000,26
Samsung Smart TV UN60H6500 UN60H6500,26
Thin,26
ASUS Wireless Router BLUE_CAVE,25
ASUS Wireless Router RT-AX56U V2,25
Dahua DH-XVR4108HS-I,25
Dahua DH-XVR5108HS-I2,25
Dahua IPC-HDBW4231E-ASE,25
Dahua TNR-4208P,25
Dahua-based TD-HXVR-5104HS-X1,25
FPBX,25
Lotus Domino POP3 server,25
Lotus Domino smtpd,25
NQ 7.3,25
OpenFlow,25
QNAP TS-231P2 TS-231P2,25
QNAP TS-251,25
RND,25
Samsung M337x 387x 407x Series,25
Samsung Smart TV UN40H6350,25
Synology DS918+ 6.2-25556,25
Synology DS920+ 6.2-25556,25
WSGIServer,25
ATEN KVM-over-IP VNC,24
Asterisk PBX 1.6.2.24,24
DIGITALZONE NC W511SR 2.0.1 W511SR,24
DVR,24
Dahua HRHQ1080L,24
